update,avgR,doneEps,fps,KL,elite
1,0.150417,24,4095.69,0.00434598,409
2,0.178166,24,5830.85,0.00182909,818
3,0.153229,24,5632.66,0.00263159,1227
4,0.134023,24,5628.42,0.00243964,1636
5,0.127954,31,5333.32,0.0015507,2045
6,0.176785,25,5537.53,0.00293852,2454
7,0.169461,24,5417,0.00417037,2863
8,0.154885,24,5437.45,0.00486157,3272
9,0.15314,28,5251.2,0.00285385,3681
10,0.174404,25,5385.87,0.00412523,4090
11,0.172412,27,5382.47,0.0035456,4499
12,0.153422,24,5084.7,0.00233556,4908
13,0.164265,25,5350.97,0.00234278,5317
14,0.162529,28,5312.28,0.0029658,5726
15,0.177109,25,5295.95,0.000611791,6135
16,0.188213,26,5318.31,0.00253131,6544
17,0.179089,25,5250.54,0.00429396,6953
18,0.196214,27,5261.2,0.000493915,7362
19,0.20175,25,5321.99,0.00131391,7771
20,0.200003,25,5293.51,0.00409556,8180
21,0.179092,25,5279.81,0.00273737,8589
22,0.217727,28,5233.39,0.00217815,8998
23,0.19462,26,5302.12,0.002152,9407
24,0.204751,24,5354.12,0.00114859,9816
25,0.184688,25,5305.29,0.00198945,10225
26,0.174612,28,5232.85,0.00330102,10634
27,0.224179,26,5283.24,0.00142259,11043
28,0.234633,25,5311.41,0.00171782,11452
29,0.232839,24,5267.21,0.00162856,11861
30,0.190077,26,5264.83,0.00241589,12270
31,0.218915,27,5270.63,0.00209317,12679
32,0.216085,27,5271.07,0.00400924,13088
33,0.231408,24,5200.5,0.00194843,13497
34,0.211953,24,5225.64,0.0019159,13906
35,0.209874,28,5155.17,0.00180309,14315
36,0.237942,26,5261.19,0.00149989,14724
37,0.246359,26,5171.46,0.00149024,15133
38,0.249435,24,5210.18,0.00112718,15542
39,0.215196,27,5037.79,0.00336963,15951
40,0.250316,25,5115,0.0029219,16360
41,0.25107,27,5206.27,0.000591824,16769
42,0.259747,25,5212.87,0.00325563,17178
43,0.232258,25,5071.81,0.00409501,17587
44,0.258008,23,4906.36,0.00192479,17996
45,0.265312,24,5007.12,0.00188216,18405
46,0.253869,26,5210.87,0.0033439,18814
47,0.262324,25,5174.63,0.000812074,19223
48,0.266466,28,5196.22,0.00334843,19632
49,0.308468,24,5224.16,0.00254737,20041
50,0.252216,26,5050.37,0.000797893,20450
51,0.263982,25,5206.17,0.000576629,20859
52,0.267874,27,5147.27,0.00186193,21268
53,0.281713,26,5214.73,0.00126194,21677
54,0.283035,24,5186.28,0.00370713,22086
55,0.238569,25,4948.71,0.00336002,22495
56,0.277719,27,4998.31,0.00306942,22904
57,0.304855,26,5066.29,0.00104529,23313
58,0.280209,26,5076.8,0.00271546,23722
59,0.286883,25,5120.19,0.00431553,24131
60,0.30744,27,5041.55,0.00235394,24540
61,0.315317,25,5153.67,0.00309665,24949
62,0.292539,26,5165.07,0.00231081,25358
63,0.306441,26,4121.02,0.00270168,25767
64,0.313245,26,3847.47,0.00128851,26176
65,0.318748,26,4311.88,0.00123597,26585
66,0.33868,25,3574.98,0.000726398,26994
67,0.302719,25,3639.74,-0.000320112,27403
68,0.296355,25,4301.32,0.00158156,27812
69,0.306739,28,4673.91,0.00401777,28221
70,0.329971,26,4530.91,0.00204595,28630
71,0.307564,24,3894.8,0.0018614,29039
72,0.318494,25,4187.96,0.00113493,29448
73,0.304662,27,4029.41,0.00310173,29857
74,0.323228,25,4081.28,0.00134552,30266
75,0.310586,22,3961.38,0.000870019,30675
76,0.333849,25,3070.13,0.00378827,31084
77,0.324171,25,3593.56,0.000679853,31493
78,0.344085,26,3931.92,0.000994386,31902
79,0.330379,28,3559.09,0.00475387,32311
80,0.371199,24,3549.26,0.000947978,32720
81,0.325647,26,3997.91,0.00253952,33129
82,0.329641,26,3813.23,0.00251915,33538
83,0.344129,26,3100.65,0.00382978,33947
84,0.355358,26,3795.02,0.00460466,34356
85,0.347134,25,3733.71,0.00489052,34765
86,0.339871,26,3761.2,0.00197655,35174
87,0.36272,25,3941.34,0.00261119,35583
88,0.335901,27,4067.75,0.00368077,35992
89,0.355418,25,4007.56,0.000937673,36401
90,0.340862,27,3920.34,0.000806658,36810
91,0.36627,24,3288.61,0.000169159,37219
92,0.331206,25,3832.78,0.00254573,37628
93,0.349919,27,3838.5,0.00200175,38037
94,0.366712,25,3991.82,-0.000102275,38446
95,0.359069,27,3726.83,0.000657728,38855
96,0.373914,24,3542.52,0.00262507,39264
97,0.336915,28,3519.14,0.00014358,39673
98,0.357498,22,3071.35,0.00321953,40082
99,0.329512,23,3449.73,0.00199704,40491
100,0.356763,25,3730.73,0.00202331,40900
101,0.332997,22,3345.79,0.00128455,41309
102,0.33391,23,3542.03,0.0014997,41718
103,0.337594,22,4465.57,0.00105808,42127
104,0.364166,26,4992.97,0.00255658,42536
105,0.349018,25,4707.3,0.0022132,42945
106,0.365285,28,5001.68,0.000557326,43354
107,0.400952,25,4924.43,0.000685459,43763
108,0.366883,25,5049.96,0.000153056,44172
109,0.367906,25,5089.42,0.00295299,44581
110,0.357854,28,4332.04,0.000873225,44990
