update,avgR,doneEps,fps,KL,elite
1,0.126347,24,4210.07,0.00287013,409
2,0.154826,24,5684.36,0.00144284,818
3,0.119699,24,5584.59,0.0012644,1227
4,0.123133,24,5456.38,0.00301739,1636
5,0.106272,29,5334.03,0.00116119,2045
6,0.156961,27,5299.37,0.0018772,2454
7,0.145635,24,5157.67,0.00287224,2863
8,0.127015,24,5069.43,0.00117263,3272
9,0.132569,27,5076.35,0.00330592,3681
10,0.119431,28,5185.87,0.00195552,4090
11,0.149669,24,5307.86,0.0032757,4499
12,0.131757,25,5314.85,0.00284951,4908
13,0.136657,25,5287.57,0.0049889,5317
14,0.144251,28,5335.1,0.00237937,5726
15,0.146522,26,5270.18,0.00315144,6135
16,0.157148,24,5266.89,0.00264539,6544
17,0.143276,25,5181,0.00377458,6953
18,0.166983,28,5105.37,0.00296539,7362
19,0.175111,25,5255.97,0.00130518,7771
20,0.147291,25,5224.81,0.00300286,8180
21,0.166451,25,5260.92,0.0036874,8589
22,0.153451,27,5151,0.00295033,8998
23,0.179719,26,5183.61,0.00250957,9407
24,0.169404,25,5223.57,0.00265005,9816
25,0.184217,26,5170.67,0.00313813,10225
26,0.171564,24,4221.51,0.00161251,10634
27,0.19749,28,5158.03,0.00115947,11043
28,0.232649,25,5226.1,0.00180557,11452
29,0.195352,25,5200.49,-0.000537362,11861
30,0.199223,26,5166.25,0.00277765,12270
31,0.199694,28,5104.04,0.00213116,12679
32,0.228681,24,5197.13,0.00232938,13088
33,0.182789,25,5117.24,0.00181085,13497
34,0.226192,24,5037.12,0.0016112,13906
35,0.195657,29,5083.26,0.00390976,14315
36,0.229826,26,5192.94,0.00296451,14724
37,0.232984,25,5155.64,0.00225387,15133
38,0.207748,24,5114.92,0.00211308,15542
39,0.216973,26,5087.85,0.00153022,15951
40,0.219503,28,5170.07,0.0013897,16360
41,0.261056,25,5228.87,0.0022961,16769
42,0.241614,25,5196.78,0.00173479,17178
43,0.214312,24,5102.79,0.00382915,17587
44,0.239547,29,5052.02,0.00251835,17996
45,0.281566,25,5107.25,0.00168161,18405
46,0.265692,26,5088.56,0.000866183,18814
47,0.278176,24,5091.63,0.000967253,19223
48,0.247026,26,5048.53,0.000831969,19632
49,0.278876,27,5079.5,0.00326056,20041
50,0.285539,25,5085.79,0.00148543,20450
51,0.275872,26,5057.47,0.00367127,20859
52,0.286849,26,5046.62,0.000102447,21268
53,0.274936,27,5033.8,0.00413033,21677
54,0.290811,24,5159.62,0.00235662,22086
55,0.280041,25,5131.83,0.00208293,22495
56,0.259777,27,5039.35,0.00179971,22904
57,0.312435,25,5112.9,0.000739946,23313
58,0.303111,27,5050.21,0.0030727,23722
59,0.30467,24,5111.57,0.000587401,24131
60,0.283632,26,5013.2,0.000219581,24540
61,0.307031,26,5055.25,0.00274585,24949
62,0.307417,27,5009.95,0.000935428,25358
63,0.3059,25,5084.49,0.0036054,25767
64,0.280465,24,5058.21,0.000491133,26176
65,0.276351,27,5025.4,0.00220361,26585
66,0.329158,27,5022.55,0.00349748,26994
67,0.319544,26,4993.69,0.00209142,27403
68,0.338509,24,5011.55,0.00176677,27812
69,0.32295,27,4704.37,0.000337732,28221
70,0.318652,24,4977.48,0.00046302,28630
71,0.327064,27,4979.05,0.00249498,29039
72,0.332695,25,4995.57,0.00104621,29448
73,0.311789,25,4997.22,0.000717986,29857
74,0.327106,27,5042.02,0.00267216,30266
75,0.331637,26,5016.34,0.00159171,30675
76,0.352476,26,5036,0.00157195,31084
77,0.348056,24,5035.44,0.00176743,31493
78,0.325791,27,5042.88,0.000449728,31902
79,0.349971,26,5026.64,0.00350643,32311
80,0.34023,26,4987.45,0.00233966,32720
81,0.351226,25,4991.34,-0.000171494,33129
82,0.325213,26,4943.59,0.0007045,33538
83,0.338481,25,4959.78,-0.000311286,33947
84,0.352777,27,4982.89,0.00295639,34356
85,0.372177,25,4995.55,0.00120573,34765
86,0.337694,27,5036.51,0.00267676,35174
87,0.338239,24,4984.53,0.00135264,35583
88,0.349839,27,5009.26,0.00109642,35992
89,0.355481,25,5063.07,0.00121547,36401
90,0.345534,27,5048.7,0.000104037,36810
91,0.350499,25,5049.69,0.00153716,37219
92,0.344269,25,5017.63,0.00270141,37628
93,0.347575,26,4993.68,0.000819618,38037
94,0.357907,25,4961.92,0.00110095,38446
95,0.335605,28,4829.64,0.00172401,38855
96,0.378748,24,5042.89,0.00141072,39264
97,0.334292,27,4981.75,0.00171876,39673
98,0.379052,24,5022.68,0.00058533,40082
99,0.3419,26,4963.79,0.00249364,40491
100,0.370615,27,4976.04,0.000812564,40900
101,0.379826,25,4970.18,0.00244266,41309
102,0.358892,26,4994.17,0.00280446,41718
103,0.367053,26,4971.58,0.00206431,42127
104,0.364054,24,4971.41,0.00161661,42536
105,0.367362,27,5015.39,0.00106654,42945
106,0.365778,27,5037.62,0.00200564,43354
107,0.391155,25,4684.41,0.00451307,43763
108,0.321077,22,4729.39,0.00118559,44172
109,0.341844,22,4838.08,0.00126173,44581
110,0.344087,26,5136.94,0.00170068,44990
111,0.385047,27,5176.38,0.000552751,45399
112,0.395976,27,5189.43,0.00203155,45808
113,0.381071,24,5209.72,0.0028006,46217
114,0.353132,25,5183.17,-0.000119415,46626
115,0.345939,26,5178.59,0.00256471,47035
116,0.376064,29,5171.67,0.00226026,47444
117,0.41974,24,5195.83,0.00289597,47853
118,0.363889,24,5184.25,0.00118959,48262
119,0.353603,26,5094.58,0.000914391,48671
120,0.365988,28,4983.25,0.00163922,49080
121,0.411865,26,5007.41,0.00210766,49489
122,0.387034,24,5005.78,0.00186621,49898
123,0.354882,24,4968.67,0.00419876,50307
124,0.363149,27,4872.62,0.00358145,50716
125,0.406219,28,4988.55,0.00288734,51125
126,0.41071,24,5006.71,-0.000337421,51534
127,0.364086,25,4948.26,0.00215636,51943
128,0.365027,26,5023.83,0.00114669,52352
129,0.37653,29,4979.98,0.00110989,52761
130,0.4069,24,4718.55,0.00296966,53170
131,0.386136,24,5067.58,0.000800665,53579
132,0.361335,26,4865.71,0.00207462,53988
133,0.363638,26,4883.28,0.000631561,54397
134,0.400993,27,4985.22,0.00230779,54806
135,0.396397,25,5025.17,-0.000372943,55215
136,0.390739,25,4977.09,0.00324153,55624
137,0.373673,25,4875.72,0.00360211,56033
138,0.377558,28,4925.18,0.0022659,56442
139,0.408112,26,4975.78,0.00259118,56851
140,0.378134,24,4995.65,0.00259238,57260
141,0.380352,25,4997.12,0.000374484,57669
142,0.386823,27,4968.61,-3.59458e-05,58078
143,0.406842,26,4989,0.00141555,58487
144,0.389696,25,4952.76,0.00316906,58896
145,0.40375,25,5021.33,0.00201372,59305
146,0.377653,27,4819.28,0.00151225,59714
147,0.400457,26,4886.3,0.00108887,60123
148,0.398276,25,4995.79,0.00189519,60532
149,0.382884,26,5013.54,-2.15016e-05,60941
150,0.389952,27,4990.69,0.00148711,61350
151,0.40138,25,5018.5,0.0026895,61759
152,0.39223,24,5043.83,0.00298314,62168
153,0.380795,24,5107.58,0.00276299,62577
154,0.374083,29,5166.27,0.000980415,62986
155,0.44625,26,5237.42,0.000442939,63395
156,0.410773,25,5222.14,0.00403219,63804
157,0.397386,24,5210.85,0.00127062,64213
158,0.371093,26,5142.52,0.000541702,64622
159,0.3958,28,5131.45,0.00188002,65031
160,0.442717,25,5067.9,0.00323862,65440
161,0.400276,25,5035.92,0.000977076,65849
162,0.368878,23,4932.9,-0.00057085,66258
163,0.348566,24,4656.33,0.00293579,66667
164,0.363682,24,4710.17,0.00342593,67076
165,0.393376,23,4696.82,0.00359243,67485
166,0.414382,23,4989.69,0.00188135,67894
167,0.318305,20,4581.2,0.00262387,68303
168,0.354878,24,4575.09,0.000513191,68712
169,0.382885,21,4651.19,0.0018275,69121
170,0.401013,26,4976.47,0.00122611,69530
171,0.416399,26,5032.29,0.00224086,69939
172,0.402366,26,4661.27,0.00134864,70348
173,0.424292,26,3360.95,-0.000798709,70757
174,0.402016,24,4862.46,0.00163337,71166
175,0.366754,22,4636.89,0.000575746,71575
176,0.392199,25,4837.9,0.0023408,71984
177,0.408109,27,4996.33,0.00152756,72393
178,0.450728,26,5019.47,0.000283095,72802
179,0.42301,25,4949.82,0.00107902,73211
180,0.404966,24,5028.4,0.00184995,73620
181,0.408641,27,4977.53,0.00215518,74029
182,0.423294,26,5066.38,0.00122849,74438
183,0.443039,26,5058.22,0.00142592,74847
184,0.345245,21,4593.23,0.000742592,75256
185,0.32043,20,4373.15,0.000914841,75665
186,0.372295,22,4377.09,0.00102642,76074
187,0.403763,24,4890.14,-2.22594e-05,76483
188,0.412651,26,4980.74,0.00236607,76892
189,0.415934,27,5022.55,0.0024093,77301
190,0.421408,24,5013.79,0.000258311,77710
191,0.406547,27,5035.86,0.00236506,78119
192,0.398645,22,4776.09,0.00105559,78528
193,0.359895,23,4638.47,-0.000672657,78937
194,0.420945,27,4977.05,0.00171525,79346
195,0.436413,24,4965.55,0.00287026,79755
196,0.405257,27,4948.64,0.00196134,80164
197,0.439903,25,4994.08,0.00056718,80573
