update,avgR,doneEps,fps,KL,elite
1,0.00186653,70,5626.09,0.00226868,819
2,-0.000791049,81,6852.41,0.001455,1638
3,-0.000128128,78,6779.05,0.00225778,2457
4,-0.00222287,80,6802.5,0.00201962,3276
5,0.00146644,77,6797.95,0.00195654,4095
6,-0.00107383,78,6715.71,0.000218259,4914
7,0.000334369,78,6766,0.00136605,5733
8,-0.000461713,87,6742.27,0.00202331,6552
9,0.00177762,74,6614.48,0.00164292,7371
10,-0.00108799,81,6697.6,0.00339763,8190
11,-0.00213652,83,6652.13,0.00158624,9009
12,-0.000112276,79,6703.08,0.00279983,9828
13,0.000104363,82,6585.9,0.00241453,10647
14,0.00139517,80,6727.33,0.00187436,11466
15,-0.00157064,78,6596.61,0.00198052,12285
16,0.000936246,76,6600.99,0.00103931,13104
17,2.66449e-05,78,6597.94,0.00170203,13923
18,-0.000547958,78,6576.19,0.00176387,14742
19,-0.000934768,76,6672.36,0.00130797,15561
20,-0.000861345,81,6604.03,0.00123389,16380
21,0.000821487,76,6628.55,0.00111074,17199
22,-0.00237674,79,6613.2,0.00247916,18018
23,-0.000210702,80,6420.44,0.0017578,18837
24,-0.000135681,77,6177.85,0.000965119,19656
25,0.00087632,78,6487.95,0.000759364,20475
26,-0.000759358,78,6593.12,0.00197697,21294
27,0.000152192,82,6567.6,0.00204861,22113
28,-0.000606618,79,5323.45,0.00126123,22932
29,0.000244364,75,6615.81,0.00177655,23751
30,-0.00135629,78,6466.67,0.00270716,24570
31,0.000482716,78,6547.02,0.00195638,25389
32,-0.00248795,80,6246.86,0.0024963,26208
33,0.000750577,75,6534.13,0.00160919,27027
34,-0.0011989,81,5983.65,0.000920152,27846
35,0.00128944,75,5977.72,0.00161179,28665
36,-0.00184036,81,6380.31,0.000940884,29484
37,0.000734102,79,6578.52,0.00215428,30303
38,-0.000566379,78,6544.26,0.000467971,31122
39,0.00031988,81,6391.82,0.00256295,31941
40,-0.000866968,78,6534.72,0.000670198,32760
41,0.000523489,83,6623.57,0.00249577,33579
42,-0.000213506,79,6478.81,0.00195126,34398
43,0.0010219,79,6532.3,0.00128998,35217
44,-0.000445646,82,6501.98,0.00116629,36036
45,-0.000488084,78,6526.71,0.00160231,36855
46,0.000315209,80,6500.7,0.000983906,37674
47,-0.000825536,81,6535.84,0.00231817,38493
48,0.00063502,75,6436.78,0.00117139,39312
49,-0.000342641,77,6499.59,0.00296307,40131
50,-0.000468658,86,6535.49,0.00183842,40950
51,-0.00135323,82,6559,0.000796072,41769
52,-0.000487768,82,6532.83,0.00220235,42588
53,0.00162051,75,6582.67,0.00101719,43407
54,-8.16275e-05,82,6432.33,0.00126118,44226
55,0.000720477,77,6582.61,0.00203307,45045
56,-0.000223327,80,6414.84,0.00117538,45864
57,-0.0011121,81,6550.36,0.000539835,46683
58,0.000697245,79,5609.07,0.00211082,47502
59,-0.000424577,78,6142.74,0.00216819,48321
60,0.000891025,78,6449.87,0.00169685,49140
61,-0.000916947,80,6356.35,0.00220348,49959
62,0.000347682,80,6308.76,0.00135797,50778
63,0.00106765,79,6573.76,0.000838313,51597
64,1.89213e-05,78,6514.98,0.00360432,52416
65,-0.000453313,78,6497.68,0.00131538,53235
66,0.000608961,81,6569.7,0.000821334,54054
67,-0.00163289,77,6316.58,0.00142091,54873
68,-0.000869244,79,6390.17,0.00105972,55692
69,0.000159375,83,6389.98,0.000959105,56511
70,6.54071e-05,83,6493.91,0.000822136,57330
71,0.00198104,77,6484.77,0.00160328,58149
72,0.00169801,76,6349.36,0.00245927,58968
73,-0.000291589,79,4608.65,0.00151045,59787
74,0.00102413,79,5373.53,0.00229915,60606
75,0.000193955,80,5411.09,-0.000339523,61425
76,0.000663798,78,5543.2,0.0024378,62244
77,-0.000174782,83,5533.78,0.00172136,63063
78,0.00134347,77,5491.07,0.000581253,63882
79,0.000101383,79,5345.23,0.00187263,64701
80,0.00036171,81,5538.57,0.00162765,65520
81,0.0018797,75,5583.78,0.00114917,66339
82,0.000435903,74,5423.69,0.000462873,67158
83,-0.00105132,84,5342.87,0.00232534,67977
84,0.000686836,78,5459.86,0.0008208,68796
85,-0.000395568,81,5508.29,0.00248114,69615
86,-2.68887e-05,78,5379.16,0.00142426,70434
87,0.000202408,78,5432,0.0027777,71253
88,-0.00116392,81,5405,0.00267107,72072
89,-0.000247262,81,5351.54,0.00153316,72891
90,-0.000201009,80,5520.42,0.00255786,73710
91,0.000115081,78,5443.12,0.000366342,74529
92,-0.000228785,76,5471.81,0.000693056,75348
93,-0.000382768,75,5444.66,0.00196157,76167
94,0.000694984,80,5468.27,0.00110075,76986
95,-0.00132543,79,5393.63,0.00208887,77805
96,0.000241016,80,5419.84,0.00197995,78624
97,-0.000524967,81,5477.31,0.00149981,79443
98,-0.000351815,80,5427.85,0.00121378,80262
99,0.000463307,84,5330.07,0.00104224,81081
100,-0.00062636,79,5270.94,0.00258963,81900
101,-0.000594633,80,5569.12,0.0044362,82719
102,0.0014618,75,5430,0.0020806,83538
103,0.00120737,83,5559.36,0.00193162,84357
104,0.000544509,77,5729.35,0.00172022,85176
105,-0.000374962,81,5762.86,0.00230262,85995
106,-0.00119083,80,5647.04,0.00328086,86814
107,-0.000257185,76,5393.08,0.00153848,87633
108,-0.000967582,80,5454.72,0.00142457,88452
109,-0.000850942,81,5370.12,0.00141088,89271
110,0.000881381,77,5427.95,0.00107463,90090
111,-0.000409334,81,5353.89,0.00147954,90909
112,-0.000805204,76,5362.57,0.000867772,91728
113,0.00194619,76,5494.43,0.00232237,92547
114,0.00126531,76,4825.08,0.00085695,93366
115,0.000480734,81,5384.58,0.00137062,94185
116,-0.00111535,79,5431.27,0.00141956,95004
117,-0.000408644,74,5423.22,0.000660099,95823
118,-0.000587266,80,5471.02,0.00230094,96642
119,0.000243286,78,5387.99,0.00211668,97461
120,-0.000281013,81,5384.95,0.00129942,98280
121,0.00098888,78,5449.77,0.002016,99099
122,0.000349732,83,5266.79,0.00141427,99918
123,-0.000964305,74,5359.58,0.00173064,100000
124,0.00043366,78,5468.09,0.000933684,100000
125,0.000391071,82,5331.7,0.00160368,100000
126,0.00063184,78,5395.2,0.00153267,100000
127,-0.00110373,79,5265.04,0.0024322,100000
128,-0.000199277,80,5422.72,0.00184265,100000
129,-0.000717868,80,5358.47,0.00129725,100000
130,0.001595,76,5418.89,0.000802316,100000
131,-0.00207786,78,5344.59,0.00151803,100000
132,-0.000324131,78,5333.74,0.0015818,100000
133,0.000475593,84,5382.61,0.000949373,100000
134,-0.00109047,80,5341.11,0.0010652,100000
135,0.000405406,77,5347.33,0.000914932,100000
136,-0.000689853,79,5349.21,0.000963729,100000
137,0.000575824,81,5362.8,0.00226222,100000
138,-0.000272005,80,5431,0.00208604,100000
139,0.000114718,78,5362.53,0.00170185,100000
140,-0.0014787,78,5266.51,0.00247162,100000
141,-0.000736712,80,5289.67,0.000681657,100000
142,-0.000621769,78,5417.18,0.00145558,100000
143,-0.000209376,74,5235.33,0.000947055,100000
144,-0.000160624,79,5648.37,0.00133479,100000
145,-0.000831996,78,5329.97,0.00153769,100000
146,0.00063108,80,5614.4,0.00254709,100000
147,-0.000183535,86,5566.16,0.00105155,100000
148,-0.000351794,78,5436.58,0.00245761,100000
149,-0.000694632,80,5509.97,0.00135811,100000
150,0.00213977,70,5633.88,0.000802648,100000
151,-0.00142577,77,5514.51,0.00171224,100000
152,0.000824996,81,5606.8,0.0029136,100000
153,0.000181474,79,5637.93,0.0026441,100000
154,-0.000362649,77,5693.58,0.00124357,100000
155,-0.000464296,78,5696.21,0.00206998,100000
156,0.00112736,81,5763.93,0.00106983,100000
157,0.000132107,78,5698.68,0.00104397,100000
158,-2.15956e-05,81,5678.13,0.00190634,100000
159,-0.000483147,83,5709.3,0.00240233,100000
160,0.000264499,78,5731.62,0.0020615,100000
161,0.00165567,76,5317.53,0.00189652,100000
162,0.000508937,81,5396.43,0.00165422,100000
163,-0.000675023,75,5569,0.000865691,100000
164,0.0008084,82,5521.79,0.00262386,100000
165,-0.00127074,80,5634.05,0.00272179,100000
166,-0.000473601,77,5398.02,0.000937625,100000
167,-0.000990417,77,5411.03,0.00112395,100000
168,0.000518388,82,5633.86,0.00087557,100000
169,0.000280686,80,5366.46,0.00154643,100000
170,0.00116783,80,5746.66,0.00148047,100000
171,-0.00123669,82,5755.96,0.000875532,100000
172,0.000774287,75,5768.29,0.00220027,100000
173,-0.00121545,76,5770.1,0.00275017,100000
174,-0.000365684,81,5775.86,0.00189901,100000
175,-0.000533614,83,5807.93,0.00113717,100000
176,0.000121402,79,5867.93,0.00202627,100000
177,0.000192262,78,5818.72,0.00176514,100000
178,0.000335315,80,5781.7,0.0029043,100000
179,0.00126024,75,5615.09,0.00186618,100000
180,0.000101902,86,5427.96,0.00196305,100000
181,0.000449269,81,5688.07,0.00172592,100000
182,0.000125387,80,5601.68,0.00284817,100000
183,0.00086655,80,5550.3,0.00107206,100000
184,-0.000464032,82,5596.37,0.000755962,100000
185,0.000330811,78,5576.84,0.00177774,100000
186,-0.000207237,81,5448.88,0.00271971,100000
187,0.000150384,80,5382.63,0.00166187,100000
188,0.00090397,77,5401.14,0.00158109,100000
189,6.71028e-05,82,5519.26,0.00231308,100000
190,0.000241739,77,5494.09,0.0023943,100000
191,0.000538329,81,5760.42,0.00215466,100000
192,-0.000425761,80,5812.95,0.00198336,100000
193,-0.000387712,78,5456.28,0.00130925,100000
194,0.00159448,76,5411.39,0.000694907,100000
195,0.000293691,81,5324.08,0.00171252,100000
196,-0.000287198,75,5417.73,0.00279397,100000
197,-0.000679833,78,4878.51,0.00176079,100000
198,0.000756153,78,5697.97,0.0014722,100000
199,0.0010566,79,5666.49,0.00249842,100000
200,0.000876111,80,5408.81,0.000428059,100000
201,-0.000496231,78,5408.31,0.000733029,100000
202,-0.000248465,84,5292.07,0.00173782,100000
203,0.00151036,75,5478.44,0.00153117,100000
204,0.000311822,80,5360.48,0.00138893,100000
205,0.0011863,81,5545.33,0.00202681,100000
206,0.000781683,77,5514.78,0.00186901,100000
207,0.000284889,80,5463.45,0.000840489,100000
208,0.00404712,75,5502.73,0.00306399,100000
209,-0.000371309,79,5621.36,0.00124657,100000
210,0.000513228,80,5513.31,0.00191842,100000
211,0.0018183,80,5523.54,0.00209871,100000
212,0.000176898,79,5679.72,0.00124641,100000
213,0.00136889,76,5753.41,0.0025675,100000
214,-0.000434252,78,5390.04,0.00226124,100000
215,0.00120846,81,5014.31,0.00232076,100000
216,0.000348661,78,4921.27,0.00144548,100000
217,0.000810077,76,4943.71,0.00252826,100000
218,0.00104118,79,5066.16,0.00134497,100000
219,0.00163976,78,4934.09,0.00255172,100000
220,0.00258353,80,4968.49,0.00242077,100000
221,0.000812177,81,4740.97,0.00293811,100000
222,0.00023227,78,4963.23,0.00210745,100000
223,0.000468564,78,4928.55,0.00223727,100000
224,0.00124827,80,4927.26,0.00190901,100000
225,0.00184202,78,4873.94,0.00203239,100000
226,0.00239779,80,5318.3,0.00146321,100000
227,0.000616266,81,5505.29,0.0015228,100000
228,0.000113833,80,5318.98,0.0016492,100000
229,-0.000124545,78,4989.88,0.000865029,100000
230,0.00284053,80,4799.33,0.000436783,100000
231,0.00361124,76,4960.57,0.00278673,100000
232,0.00166458,79,4952.47,0.00183988,100000
