update,avgR,doneEps,fps,KL,elite
1,-0.137507,518,4936.11,0.00220935,1638
2,-0.137536,518,5709.35,0.00163086,3276
3,-0.137551,518,6011.24,0.00188857,4914
4,-0.137805,518,5968.13,0.001958,6552
5,-0.137879,518,5945.06,0.00125908,8190
6,-0.137912,518,5909.57,0.00179543,9828
7,-0.137988,518,5873.42,0.00162678,11466
8,-0.137904,526,5881.68,0.00152743,13104
9,-0.137629,523,5915.48,0.00214933,14742
10,-0.137543,518,5896.08,0.00145016,16380
11,-0.137597,518,5881.77,0.00127366,18018
12,-0.13777,518,5863.44,0.000759811,19656
13,-0.137797,518,5832.05,0.00162747,21294
14,-0.137906,518,5848.57,0.00164447,22932
15,-0.138019,526,5800.38,0.00185119,24570
16,-0.137675,518,5779.53,0.0015222,26208
17,-0.137717,523,5794.35,0.00125381,27846
18,-0.137502,518,5752.6,0.00159178,29484
19,-0.137728,518,5807.59,0.00174933,31122
20,-0.137707,518,5821.95,0.00133434,32760
21,-0.13781,518,5785.12,0.00218968,34398
22,-0.137915,518,5803.33,0.000583842,36036
23,-0.137794,526,5731.35,0.000828799,37674
24,-0.137624,518,5743.45,0.000884878,39312
25,-0.137673,518,5806.77,0.00175652,40950
26,-0.137672,523,5788.19,0.00157115,42588
27,-0.137587,518,5801.86,0.00168937,44226
28,-0.137667,518,5788.07,0.00115767,45864
29,-0.137791,518,5805.09,0.000953403,47502
30,-0.137885,526,5787.49,0.000962488,49140
31,-0.137536,518,5829.62,0.000200025,50778
32,-0.137581,518,5807.28,0.00146863,52416
33,-0.137681,518,5778.64,0.00218229,54054
34,-0.13786,523,5773.75,0.00111939,55692
35,-0.137571,518,5716.04,0.00173363,57330
36,-0.137676,518,5516.99,0.00171907,58968
37,-0.137697,518,5758.02,0.00148543,60606
38,-0.137619,526,5774.3,0.00151584,62244
39,-0.137459,518,5770.91,0.00153126,63882
40,-0.137491,518,5772.3,0.0010674,65520
41,-0.137696,518,5644.9,0.00172873,67158
42,-0.1378,518,5052.32,0.00143456,68796
43,-0.137674,523,5658.81,0.00141523,70434
44,-0.137617,518,5260.13,0.00112279,72072
45,-0.137696,526,5699.71,0.00110361,73710
46,-0.137382,518,5696.65,0.0017063,75348
47,-0.137467,518,4751.62,0.000781823,76986
48,-0.137474,518,4620.6,0.00105596,78624
49,-0.137655,518,5734.85,-5.24029e-05,80262
50,-0.137727,518,5746.12,0.00197842,81900
