update,avgR,doneEps,fps,KL,elite
1,-0.170117,258,5500,0.00244343,819
2,-0.165665,266,6676.38,0.00200932,1638
3,-0.165304,265,6663.3,0.000533952,2457
4,-0.164153,263,6645.58,0.00171273,3276
5,-0.163036,267,6639.88,0.00132799,4095
6,-0.169942,267,6634.43,0.000458154,4914
7,-0.168686,266,6577.11,0.00163899,5733
8,-0.163042,261,6613.19,0.00129415,6552
9,-0.165395,262,6601.89,0.00224662,7371
10,-0.162017,263,6585,0.00078862,8190
11,-0.167265,268,6585.64,0.0018852,9009
12,-0.168695,268,6529.22,0.000701029,9828
13,-0.161446,263,6561.95,0.00119886,10647
14,-0.170519,270,6547.22,0.00287353,11466
15,-0.167927,265,6494,0.000889561,12285
16,-0.165978,264,6551.67,0.000944914,13104
17,-0.165103,263,6527.02,0.00150189,13923
18,-0.164838,262,6549.77,0.00164142,14742
19,-0.167018,263,6527.21,0.00108374,15561
20,-0.165231,266,6526.92,4.88037e-05,16380
21,-0.167124,262,6546.56,0.00100714,17199
22,-0.161678,267,6521.47,0.000341503,18018
23,-0.163721,262,6480.02,0.000314969,18837
24,-0.162944,263,6497.44,0.00130644,19656
25,-0.166771,264,6472.69,0.00125023,20475
26,-0.158426,262,6458.63,0.00136437,21294
27,-0.16127,263,6196.56,0.000608516,22113
28,-0.166737,265,6204.21,0.0005443,22932
29,-0.169627,261,6319.17,0.00191421,23751
30,-0.165392,265,6187.54,0.00189173,24570
31,-0.164195,265,6378.54,0.00182987,25389
32,-0.167992,261,5948.69,0.000924621,26208
33,-0.166183,268,6116.32,0.000429497,27027
34,-0.163797,268,6069.28,0.00155429,27846
35,-0.163347,261,6378.33,0.00109173,28665
36,-0.16493,264,6408.87,0.0028268,29484
37,-0.168848,263,6421.9,0.000499397,30303
38,-0.165336,269,6364.51,0.00109938,31122
39,-0.163621,264,6378.35,0.00119129,31941
40,-0.171463,271,6388.71,0.00165286,32760
41,-0.165705,262,6382.86,0.00134792,33579
42,-0.166926,266,6363.77,0.00228985,34398
43,-0.16052,262,6338.75,0.00119534,35217
44,-0.164054,267,6297.71,0.00158893,36036
45,-0.165689,266,6276.27,0.00144815,36855
46,-0.165098,264,4527.28,0.00268491,37674
47,-0.170824,267,4917.53,0.00140062,38493
48,-0.163214,259,5829.42,0.000920258,39312
49,-0.16179,267,6313.86,0.00110184,40131
50,-0.168739,268,6386.89,0.00167599,40950
51,-0.163593,261,6269.38,0.000759809,41769
52,-0.167007,269,6152.78,0.00196176,42588
53,-0.161434,261,6276.75,0.00107371,43407
54,-0.158952,262,6435.15,0.00172245,44226
55,-0.163407,262,6251.18,0.00128712,45045
56,-0.168945,267,6349.52,0.00120131,45864
57,-0.163838,261,6184.4,9.2275e-05,46683
58,-0.169632,270,5342.08,0.00234282,47502
59,-0.162193,262,6396.63,0.000986547,48321
60,-0.171708,266,6372.51,0.000828529,49140
61,-0.160442,264,6274.55,0.00283738,49959
62,-0.159543,257,5633.9,0.000554204,50778
63,-0.167188,264,5545.19,-6.5631e-05,51597
64,-0.165567,268,5413.53,-0.00143986,52416
65,-0.162225,260,5507.82,0.000704125,53235
66,-0.163953,269,5735.92,0.00056987,54054
67,-0.164445,261,5745.84,0.00111357,54873
68,-0.168521,265,5850.35,0.00139945,55692
69,-0.164595,263,6319.27,0.000892824,56511
70,-0.168464,266,6324.05,0.0021543,57330
71,-0.165007,262,6061.3,0.000818187,58149
72,-0.166131,265,5714.46,0.00101456,58968
73,-0.1685,265,6314.33,0.0016852,59787
74,-0.162041,264,6338.09,0.000956622,60606
75,-0.163263,265,6319.29,0.00202211,61425
76,-0.167429,264,6339.3,0.00237864,62244
77,-0.163749,261,6238.43,0.00157418,63063
78,-0.16524,263,6321.26,0.00134608,63882
79,-0.164412,267,6307.88,0.00126024,64701
80,-0.164791,261,6257.72,0.000984978,65520
81,-0.163476,263,6326.34,0.000574273,66339
82,-0.163813,264,6236.89,0.000938636,67158
83,-0.16843,265,6286.64,0.000791133,67977
84,-0.167358,263,6342.75,0.000245524,68796
85,-0.165451,268,6284.93,0.000720388,69615
86,-0.16327,260,6354.63,0.00032666,70434
87,-0.164002,259,5618.12,0.000119559,71253
88,-0.164039,262,5419.39,0.000190146,72072
89,-0.168057,267,5840.49,0.000257735,72891
90,-0.16596,267,6160.47,0.000861948,73710
91,-0.168211,263,6289.07,0.000848156,74529
92,-0.160636,261,6357.9,0.000855241,75348
93,-0.16129,266,5982.83,0.000229626,76167
94,-0.166667,263,6192.28,-0.000160092,76986
95,-0.169554,270,5956.74,5.31277e-05,77805
96,-0.167665,265,5216.93,-0.000666296,78624
97,-0.164581,265,6005.2,5.24688e-05,79443
98,-0.167168,268,6344.8,5.07566e-05,80262
99,-0.161165,264,6355.26,-2.08033e-05,81081
100,-0.163873,266,6322.22,1.62981e-09,81900
