update,avgR,doneEps,fps,KL,elite
1,-0.00223359,73,3371.05,0.00130533,819
2,-0.00346743,84,5658.69,0.00128073,1638
3,-0.00443719,82,6610.62,0.000303858,2457
4,-0.00439482,84,6599.7,0.00196139,3276
5,-0.00538154,84,6547.89,0.00115781,4095
6,-0.00192662,79,6541.67,0.00152952,4914
7,-0.00463003,82,5314.37,0.000871499,5733
8,-0.00550724,84,6532.17,0.00181891,6552
9,-0.00388177,82,6557.4,0.000804733,7371
10,-0.00520961,87,6551.04,0.000945357,8190
11,0.00245474,76,6253.07,0.00278653,9009
12,-0.00130739,80,6235.21,-0.000229486,9828
13,-0.00356202,77,6541.88,0.00178662,10647
14,-0.00423848,85,6512.09,-4.74947e-05,11466
15,-0.00496409,85,6529.91,0.000694211,12285
16,-0.00406315,82,6523.25,0.00145598,13104
17,-0.00522621,84,6471.72,0.000969808,13923
18,-0.00476718,81,6434.83,0.00228933,14742
19,-0.0055683,83,6437.07,0.00190207,15561
20,-0.00405564,76,6444.51,0.00146741,16380
21,-0.00440197,85,6446.4,0.00109748,17199
22,-0.00482589,87,6269.82,0.000509674,18018
23,-0.00534802,80,6512.51,0.00183307,18837
24,-0.0040044,86,6406.83,0.00122507,19656
25,-0.00515994,83,6442.98,0.000951172,20475
26,-0.00498485,82,6349.12,0.00146183,21294
27,-0.00303717,78,6438.2,0.00164654,22113
28,-0.00347595,81,6350.59,0.000511802,22932
29,-0.00127255,77,6341.74,0.00155958,23751
30,-0.000144337,80,6030.46,0.00196194,24570
31,-0.00159327,79,6334.61,0.000347885,25389
32,-0.00506976,80,6455.35,0.00293713,26208
33,-0.0057431,89,6441.64,0.00199113,27027
34,-0.00579863,85,6324.44,0.001742,27846
35,-0.0049321,83,6431.53,0.00150991,28665
36,-0.00390768,82,6427.65,0.00111833,29484
37,-0.00354146,80,6389.25,0.00136177,30303
38,-0.00187213,79,6176.6,0.0017259,31122
39,-0.00238938,81,6297.81,0.00104204,31941
40,-0.00271004,80,6426.7,0.00138379,32760
41,-0.00498417,80,6397.35,0.00130133,33579
42,-0.0065248,83,5592.28,0.00163328,34398
43,-0.00439561,79,6345.6,0.00123326,35217
44,-0.0042911,84,5509.26,0.000186851,36036
45,-0.00588806,88,5617.37,0.00089526,36855
46,9.0836e-05,78,5477.93,0.00250407,37674
47,-0.00461275,82,6151.03,0.00225801,38493
48,-0.00425283,79,5996.99,0.00105991,39312
49,-0.00403177,85,6303.91,0.00199403,40131
50,-0.00273726,82,6112.09,0.000974887,40950
51,-0.00427216,84,6394.89,0.000940109,41769
52,-0.00522267,79,5539.98,0.00180329,42588
53,-0.00500623,81,5906.31,0.00207217,43407
54,-0.00552592,82,6258.77,0.00108184,44226
55,-0.00488094,81,6421.42,0.00129773,45045
56,-0.00283936,88,6042.09,0.00401597,45864
57,-0.00553485,84,6286.69,0.000817673,46683
58,-0.00222328,79,6349.47,0.000454473,47502
59,0.00295646,76,5983.34,0.00239116,48321
60,-0.00114899,80,5992.21,0.00144182,49140
61,-0.00131825,84,6371.67,0.000277775,49959
62,-0.00377776,84,6311.75,0.000883757,50778
63,-0.000507829,80,5746.55,0.00284995,51597
64,-0.000806112,79,6040.73,0.00192597,52416
65,-0.00366985,77,6311.67,0.00115367,53235
66,-0.00341728,82,6329.64,0.00289458,54054
67,-0.00568338,82,5998.1,0.00154704,54873
68,-0.00594956,81,6329.93,0.00191734,55692
69,-0.00427153,79,5851.75,0.000400956,56511
70,-0.00430977,82,6077.32,0.00173873,57330
71,0.00542969,75,5649.96,0.00191909,58149
72,-0.00165377,83,5810.43,0.00101903,58968
73,-0.00342652,81,5969.35,0.00176952,59787
74,-0.00419436,79,6012.37,0.00125362,60606
75,-0.00399456,85,5897.92,0.00247302,61425
76,-0.0041056,82,6071.85,0.000984834,62244
77,-0.00417431,83,6248.17,0.000768036,63063
78,-0.0048638,80,5920.04,0.00234729,63882
79,-0.00513541,87,6095.61,0.00131774,64701
80,-0.00364386,82,6332.76,0.00166264,65520
81,-0.00412377,83,6301.41,0.00220847,66339
82,-0.003932,82,6341.67,0.00154211,67158
83,-0.00512499,83,5894.5,0.00156188,67977
84,-0.00495769,83,6192.37,0.0017333,68796
85,-0.0044238,85,6188.83,0.00154585,69615
86,-0.00344935,78,5915.27,0.00134731,70434
87,-0.00560181,86,5962.96,0.00166608,71253
88,-0.00505543,82,6307.73,0.00085793,72072
89,-0.00344405,78,6285.39,0.000179475,72891
90,-0.00425263,81,4538.49,0.00176222,73710
91,-0.00338554,82,5011.15,0.00158913,74529
92,-0.00483593,85,5126.95,0.00133472,75348
93,-0.00406728,81,5225.54,0.000931015,76167
94,-0.00330972,80,5338.56,0.000816155,76986
95,-0.00467362,82,5318.77,0.00103973,77805
96,-0.00425415,86,4957.88,0.00102944,78624
97,-0.00457932,83,5061.62,0.00115249,79443
98,0.000231817,80,5174.21,0.000733088,80262
99,-0.000376011,84,5026.6,0.00100658,81081
100,-0.00271251,80,5294.23,0.00184453,81900
101,-0.00410362,78,5304.76,0.00193886,82719
102,-0.0037869,84,5196.49,0.00297059,83538
103,-0.00319832,81,5274.03,0.00104289,84357
104,-0.00608165,87,5300.7,0.00297892,85176
105,-0.000942465,81,5368.56,0.00196396,85995
106,-0.0048729,81,5334.46,0.00176132,86814
107,-0.00209363,78,5327.24,0.000823567,87633
108,-0.00404423,87,5307.89,0.00209921,88452
109,-0.00451094,87,5090.85,0.000816665,89271
110,-0.00461287,84,5267,0.00133129,90090
111,-0.0031309,82,5259.84,0.00175694,90909
112,0.00136437,78,5252.24,0.00394074,91728
113,0.00118571,79,5044.29,0.000891242,92547
114,-0.00231764,79,5224.24,0.0013044,93366
115,-0.00406275,89,5198.96,0.00258513,94185
116,-0.00362381,78,5189.94,0.000582327,95004
117,-0.00405226,81,5258.46,0.00100201,95823
118,-0.00418783,87,5172.31,3.15063e-05,96642
119,-0.00211046,80,5290.07,0.000650686,97461
120,-0.00369392,80,5255.41,0.00261836,98280
121,-0.00259595,85,5297.89,0.00122301,99099
122,-0.0029652,82,5278.05,0.002027,99918
123,-0.00379549,83,5145.39,0.000601639,100000
124,-7.40304e-05,77,4921.38,0.00247039,100000
125,-0.000130983,80,4895.38,-0.000102202,100000
126,-0.00327746,79,5234.42,0.0015667,100000
127,-0.00542243,84,5113.88,0.00164401,100000
128,-0.00402965,80,5106.35,0.00179858,100000
129,-0.00409112,89,5119.21,0.00071909,100000
130,-0.00413856,83,5256.49,0.00142023,100000
131,-0.00454431,82,5244.58,0.00126007,100000
132,-0.00372174,88,5252.27,0.00123031,100000
133,-0.00536381,80,5249.55,0.00331413,100000
134,-0.00485557,86,5458.06,0.00213609,100000
135,-0.00393339,76,6060.07,0.00126315,100000
136,-0.00552521,85,6212.73,0.001973,100000
137,-0.00375347,81,5836.97,0.00162957,100000
138,-0.00541594,84,6146.61,0.00199977,100000
139,-0.00437683,82,6237.23,0.00088328,100000
140,-0.00351507,80,6266.27,0.00247104,100000
141,-0.00438511,84,6197.92,0.00297548,100000
142,-0.00273221,80,6184.12,0.00335711,100000
143,-0.00345918,79,6245.03,0.000746086,100000
144,-0.0045838,84,6081.81,0.000947786,100000
145,-0.00318184,80,6209.72,0.00171673,100000
146,-0.00445366,86,6232.52,0.00136531,100000
147,-0.00545072,86,5282.23,0.00099892,100000
