update,avgR,doneEps,fps,KL,elite
1,0.12843,48,5678.57,0.00568874,819
2,0.161502,48,6737.25,0.00255814,1638
3,0.123478,48,6683.67,0.00121778,2457
4,0.11487,48,6520.61,0.00323711,3276
5,0.12716,61,6491.48,0.00320616,4095
6,0.158249,50,6509.05,0.00277837,4914
7,0.134269,49,6506.52,0.00270548,5733
8,0.144652,48,6461.3,0.00355931,6552
9,0.131942,57,6334.86,0.00365929,7371
10,0.172378,52,6373.5,0.00383015,8190
11,0.162984,48,6348.4,0.00301459,9009
12,0.152953,50,6320.73,0.00293869,9828
13,0.151312,54,5944.43,0.00265024,10647
14,0.177013,53,6092.13,0.00195806,11466
15,0.180195,51,6232.43,0.00292224,12285
16,0.191994,48,6010.2,0.00327471,13104
17,0.17134,49,6250.31,0.00150261,13923
18,0.173359,53,5973.11,0.000775705,14742
19,0.206831,46,5746.54,0.00067538,15561
20,0.202075,50,5990.26,0.00287469,16380
21,0.223981,48,6164.28,0.00298153,17199
22,0.225642,54,5219.81,0.00201922,18018
23,0.232949,49,6148.63,0.00113188,18837
24,0.231184,52,6173.21,0.00212494,19656
25,0.241299,52,6126.82,0.00275072,20475
26,0.227241,50,5540.55,0.00176581,21294
27,0.253648,48,5772.96,0.00181748,22113
28,0.255646,48,5500.85,0.00159898,22932
29,0.265031,48,5987.22,0.0010712,23751
30,0.279066,50,6146.57,0.00339112,24570
31,0.26817,51,5916.82,0.000685212,25389
32,0.292678,50,5907.5,0.00300632,26208
33,0.307997,50,5746.06,0.000679695,27027
34,0.276888,47,5808.82,0.00164643,27846
35,0.283865,50,5720.51,0.00208956,28665
36,0.279167,49,5634.7,0.00231528,29484
37,0.316733,48,5853.67,0.00193897,30303
38,0.299612,47,5591.46,0.00202317,31122
39,0.296321,52,5860.88,0.00125715,31941
40,0.330547,52,5930.25,0.00177414,32760
41,0.33256,49,4973.53,0.00228506,33579
42,0.314156,48,4470.66,0.00282538,34398
43,0.306732,50,5070.67,0.00135871,35217
44,0.305492,44,4890.07,0.00156519,36036
45,0.325208,49,4880.86,0.00277073,36855
46,0.355263,51,5100.84,0.00119213,37674
47,0.323004,49,4964.31,0.00241734,38493
48,0.320633,50,4864.92,0.00212793,39312
49,0.332822,50,4936.51,0.00214838,40131
50,0.332256,47,4870.97,0.00342468,40950
51,0.324974,45,4791.69,0.000517528,41769
52,0.354951,48,5003.67,0.000348983,42588
53,0.319194,43,4806.53,0.00180675,43407
54,0.33207,49,4835.63,0.00216318,44226
55,0.355773,51,4916.29,0.00304592,45045
56,0.371947,48,4883.94,0.000896073,45864
57,0.331222,44,4863.05,0.00160146,46683
58,0.339637,49,4701.26,0.00109001,47502
