update,avgR,doneEps,fps,KL,elite
1,-0.137515,259,3938.42,0.00184352,819
2,-0.137485,259,6134.38,0.00193116,1638
3,-0.137559,259,6019.07,0.000334733,2457
4,-0.137549,259,5815.12,0.00341,3276
5,-0.137638,259,5958.13,0.00213163,4095
6,-0.13762,259,5849.07,0.00174502,4914
7,-0.137848,259,5954.42,0.00146436,5733
8,-0.137848,259,5852.16,0.00175303,6552
9,-0.137876,259,5790.44,0.00119218,7371
10,-0.13787,259,5885.13,0.00221234,8190
11,-0.137898,259,5864.03,0.00158975,9009
12,-0.137972,259,5868.4,0.000906302,9828
13,-0.137993,259,5860.12,0.000931746,10647
14,-0.13801,259,5738.25,0.00178893,11466
15,-0.138124,267,5872.76,0.0020033,12285
16,-0.137758,259,5888.47,0.00056491,13104
17,-0.137805,264,5864.46,0.00125868,13923
18,-0.137472,259,5861.28,0.00136233,14742
19,-0.137513,259,5553.13,0.00141604,15561
20,-0.137518,259,5845.39,0.00104466,16380
21,-0.137545,259,5847.55,0.00172679,17199
22,-0.137661,259,5789.85,0.00201021,18018
23,-0.137731,259,5849.24,0.00114373,18837
24,-0.137852,259,5848.03,0.00255722,19656
25,-0.137782,259,5582.32,0.00240583,20475
26,-0.137914,259,5823.52,-0.000466575,21294
27,-0.137843,259,5752.49,0.0013143,22113
28,-0.137917,259,5775.87,-0.00023161,22932
29,-0.138012,259,5816.59,0.00140786,23751
30,-0.138065,267,5812.98,9.18176e-05,24570
31,-0.137712,259,5824.8,0.00125201,25389
32,-0.137708,259,5794.83,0.00120011,26208
33,-0.137717,259,5815.79,0.00258971,27027
34,-0.137764,264,5776.69,0.000465294,27846
35,-0.137434,259,5796.81,0.00126632,28665
36,-0.137473,259,5741.41,0.000960687,29484
37,-0.137709,259,5782.69,0.00152679,30303
38,-0.137696,259,5800.17,0.000121802,31122
39,-0.137725,259,5731.66,0.000700945,31941
40,-0.137739,259,5804.67,0.00101142,32760
41,-0.137862,259,5774.49,0.00167173,33579
42,-0.137867,259,5759.78,0.00172987,34398
43,-0.137815,259,5784.08,0.00173493,35217
44,-0.137943,259,5690.13,0.000243761,36036
45,-0.137985,267,5754.9,0.00147215,36855
46,-0.137573,259,5728.07,0.00120413,37674
47,-0.137582,259,5769.87,0.00186645,38493
48,-0.137659,259,5740.51,0.000645285,39312
49,-0.13765,259,5801.12,0.00100543,40131
50,-0.137679,259,5771.71,0.00179768,40950
